Network,Station,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
IU,NWAO,-32.9277,117.239,380.0,"Narrogin, Australia",1991-11-25T00:00:00.0000,
IU,OTAV,0.2376,-78.4508,3510.0,"Otavalo, Ecuador",2000-09-07T00:00:00.0000,2009-03-30T18:00:00.0000
IU,OTAV,0.2376,-78.4508,3510.0,"Otavalo, Ecuador",2009-04-01T00:00:00.0000,
IU,PAB,39.5446,-4.3499,950.0,"San Pablo, Spain",1992-10-20T00:00:00.0000,2009-08-13T19:00:00.0000
IU,PAB,39.5446,-4.3499,950.0,"San Pablo, Spain",2009-08-14T00:00:00.0000,
IU,PAYG,-0.6742,-90.2861,270.0,"Puerto Ayora, Galapagos Islands",1998-06-19T00:00:00.0000,
IU,PET,53.0233,158.6499,110.0,"Petropavlovsk, Russia",1993-08-28T00:00:00.0000,
IU,PMG,-9.4047,147.1597,90.0,"Port Moresby, New Guinea",1993-09-10T00:00:00.0000,
IU,PMSA,-64.7744,-64.0489,40.0,"Palmer Station, Antarctica",1993-03-03T00:00:00.0000,
IU,POHA,19.7573,-155.5326,1990.0,"Pohakuloa, Hawaii, USA",1999-11-13T00:00:00.0000,
IU,PTCN,-25.0713,-130.0953,220.0,"Pitcairn Island, South Pacific",1996-12-29T00:00:00.0000,
IU,PTGA,-0.7308,-59.9666,237.0,"Pitinga, Brazil",1995-11-15T00:00:00.0000,2015-11-27T00:00:00.0000
IU,QSPA,-89.9289,144.4382,2850.0,South Pole Remote Earth Science Observatory (Quiet Zone),2002-12-29T00:00:00.0000,
IU,RAIO,46.0403,-122.8851,1.0,"Rainier, Oregon, USA",1995-08-30T00:00:00.0000,1997-05-08T00:00:00.0000
IU,RAIO,46.0403,-122.8851,11.0,"Rainier, Oregon, USA",1997-05-08T00:00:00.0000,1999-01-04T00:00:00.0000
IU,RAO,-29.245,-177.929,60.0,"Raoul, Kermadec Islands",2004-07-18T00:00:00.0000,
IU,RAR,-21.2125,-159.7733,28.0,"Rarotonga, Cook Islands",1992-03-07T00:00:00.0000,
IU,RCBR,-5.8274,-35.9014,400.0,"Riachuelo, Brazil",1999-03-01T00:00:00.0000,2009-07-28T17:00:00.0000
IU,RCBR,-5.8274,-35.9014,400.0,"Riachuelo, Brazil",2009-07-29T00:00:00.0000,
IU,RSSD,44.1212,-104.0359,2090.0,"Black Hills, South Dakota, USA",1999-09-24T00:00:00.0000,2009-09-08T20:00:00.0000
IU,RSSD,44.1212,-104.0359,2090.0,"Black Hills, South Dakota, USA",2009-09-09T00:00:00.0000,
IU,SAML,-8.9489,-63.1831,120.0,"Samuel, Brazil",2003-05-05T00:00:00.0000,
IU,SBA,-77.8492,166.7572,50.0,"Scott Base, Antarctica",1998-10-28T00:00:00.0000,
IU,SDV,8.8839,-70.634,1620.0,"Santo Domingo, Venezuela",1994-08-19T00:00:00.0000,
IU,SEO,37.5667,126.9667,86.0,"Seoul, South Korea",1994-11-26T00:00:00.0000,1995-07-04T00:00:00.0000
IU,SFJ,66.9967,-50.6156,365.0,"Sondre Stromfjord, Greenland",1996-03-21T00:00:00.0000,2005-01-31T16:00:00.0000
IU,SFJD,66.9961,-50.62076,330.0,"Sondre Stromfjord, Greenland",2005-01-31T16:00:00.0000,
IU,SJG,18.1091,-66.15,420.0,"San Juan, Puerto Rico",1993-05-26T00:00:00.0000,2010-04-15T15:00:00.0000
IU,SJG,18.1091,-66.15,420.0,"San Juan, Puerto Rico",2010-04-16T00:00:00.0000,
IU,SLBS,23.6858,-109.9443,825.0,"Sierra la Laguna Baja California Sur, Mexico",2008-12-15T00:00:00.0000,
IU,SNZO,-41.3087,174.7043,120.0,"South Karori, New Zealand",1992-04-07T00:00:00.0000,
